epoch,batch_size,combination_number,dense_layers,epochs,loss,lr,lstm1_dropouts,lstm1_nodes,lstm_layers,optimizer,time_steps,val_loss
56,50,-1,"""[dense2_nodes, layers]""",60,0.01374768598470837,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.18331488221883774
57,50,-1,"""[dense2_nodes, layers]""",60,0.011710566584952176,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.21157152578234673
58,50,-1,"""[dense2_nodes, layers]""",60,0.011620048712939025,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.20155105367302895
59,50,-1,"""[dense2_nodes, layers]""",60,0.007968186330981553,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.16548019647598267
0,70,-1,"""[dense2_nodes, layers]""",50,nan,0.5641704402968588,0.39231374303034316,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,90,nan
1,70,-1,"""[dense2_nodes, layers]""",50,nan,0.5641704402968588,0.39231374303034316,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,90,nan
2,70,-1,"""[dense2_nodes, layers]""",50,nan,0.5641704402968588,0.39231374303034316,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,90,nan
3,70,-1,"""[dense2_nodes, layers]""",50,nan,0.5641704402968588,0.39231374303034316,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,90,nan
4,70,-1,"""[dense2_nodes, layers]""",50,nan,0.5641704402968588,0.39231374303034316,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,90,nan
5,70,-1,"""[dense2_nodes, layers]""",50,nan,0.5641704402968588,0.39231374303034316,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,90,nan
6,70,-1,"""[dense2_nodes, layers]""",50,nan,0.5641704402968588,0.39231374303034316,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,90,nan
7,70,-1,"""[dense2_nodes, layers]""",50,nan,0.5641704402968588,0.39231374303034316,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,90,nan
8,70,-1,"""[dense2_nodes, layers]""",50,nan,0.5641704402968588,0.39231374303034316,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,90,nan
9,70,-1,"""[dense2_nodes, layers]""",50,nan,0.5641704402968588,0.39231374303034316,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,90,nan
10,70,-1,"""[dense2_nodes, layers]""",50,nan,0.5641704402968588,0.39231374303034316,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,90,nan
11,70,-1,"""[dense2_nodes, layers]""",50,nan,0.5641704402968588,0.39231374303034316,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,90,nan
12,70,-1,"""[dense2_nodes, layers]""",50,nan,0.5641704402968588,0.39231374303034316,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,90,nan
13,70,-1,"""[dense2_nodes, layers]""",50,nan,0.5641704402968588,0.39231374303034316,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,90,nan
0,15,-1,"""[layers]""",60,0.16401937784893172,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
