,date,close
222,2014-12-31,312.98
223,2015-01-02,314.75
224,2015-01-05,308.38
225,2015-01-06,303.0
226,2015-01-07,301.28
227,2015-01-08,303.14
228,2015-01-09,302.87
229,2015-01-12,298.51
230,2015-01-13,301.498
231,2015-01-14,295.91
232,2015-01-15,296.0
233,2015-01-16,290.79
234,2015-01-20,293.36
235,2015-01-21,306.0
236,2015-01-22,312.25
237,2015-01-23,316.93
238,2015-01-26,313.0
239,2015-01-27,310.243
240,2015-01-28,311.51
241,2015-01-29,312.8
242,2015-01-30,359.5
243,2015-02-02,365.0
244,2015-02-03,367.817
245,2015-02-04,367.5
246,2015-02-05,378.8
247,2015-02-06,375.99
248,2015-02-09,374.41
249,2015-02-10,374.3
250,2015-02-11,377.1
251,2015-02-12,378.51
252,2015-02-13,383.0
253,2015-02-17,379.985
254,2015-02-18,376.74
255,2015-02-19,381.88
256,2015-02-20,383.7
257,2015-02-23,384.54
258,2015-02-24,380.48
259,2015-02-25,387.85
260,2015-02-26,389.37
261,2015-02-27,385.99
262,2015-03-02,385.9
263,2015-03-03,386.1
264,2015-03-04,387.9
265,2015-03-05,388.418
266,2015-03-06,387.0
267,2015-03-09,379.33
268,2015-03-10,377.77
269,2015-03-11,373.35
270,2015-03-12,375.5
271,2015-03-13,373.99
272,2015-03-16,373.94
273,2015-03-17,374.5
274,2015-03-18,375.99
275,2015-03-19,377.11
276,2015-03-20,379.37
277,2015-03-23,381.77
278,2015-03-24,375.24
279,2015-03-25,380.5
280,2015-03-26,371.4
281,2015-03-27,373.17
282,2015-03-30,376.12
283,2015-03-31,377.7
284,2015-04-01,373.16
285,2015-04-02,373.28
286,2015-04-06,380.2
287,2015-04-07,379.31
288,2015-04-08,381.58
289,2015-04-09,384.42
290,2015-04-10,387.12
291,2015-04-13,385.28
292,2015-04-14,387.81
293,2015-04-15,385.78
294,2015-04-16,387.45
295,2015-04-17,383.56
296,2015-04-20,391.94
297,2015-04-21,394.6
298,2015-04-22,394.28
299,2015-04-23,391.88
300,2015-04-24,452.65
301,2015-04-27,446.99
302,2015-04-28,439.0
303,2015-04-29,434.24
304,2015-04-30,431.75
305,2015-05-01,425.64
306,2015-05-04,429.77
307,2015-05-05,427.51
308,2015-05-06,422.716
309,2015-05-07,428.5
310,2015-05-08,435.2
311,2015-05-11,439.0
312,2015-05-12,433.25
313,2015-05-13,433.528
314,2015-05-14,433.0
315,2015-05-15,430.396
316,2015-05-18,427.27
317,2015-05-19,428.24
318,2015-05-20,427.1
319,2015-05-21,436.9
320,2015-05-22,432.44
321,2015-05-26,427.0
322,2015-05-27,431.85
323,2015-05-28,431.35
324,2015-05-29,432.5
325,2015-06-01,433.16
326,2015-06-02,433.23
327,2015-06-03,438.39
328,2015-06-04,436.755
329,2015-06-05,430.8
330,2015-06-08,426.8
331,2015-06-09,427.49
332,2015-06-10,432.2
333,2015-06-11,438.89
334,2015-06-12,432.36
335,2015-06-15,428.05
336,2015-06-16,427.97
337,2015-06-17,431.35
338,2015-06-18,439.73
339,2015-06-19,444.99
340,2015-06-22,439.24
341,2015-06-23,447.04
342,2015-06-24,446.47
343,2015-06-25,443.47
344,2015-06-26,443.49
345,2015-06-29,437.0
346,2015-06-30,435.57
347,2015-07-01,440.0
348,2015-07-02,438.2
349,2015-07-06,439.73
350,2015-07-07,437.73
351,2015-07-08,435.99
352,2015-07-09,438.72
353,2015-07-10,444.72
354,2015-07-13,457.87
355,2015-07-14,469.6
356,2015-07-15,464.7
357,2015-07-16,475.88
358,2015-07-17,485.42
359,2015-07-20,493.2
360,2015-07-21,488.88
361,2015-07-22,492.5
362,2015-07-23,491.66
363,2015-07-24,580.57
364,2015-07-27,544.95
365,2015-07-28,536.39
366,2015-07-29,532.966
367,2015-07-30,539.2
368,2015-07-31,542.84
369,2015-08-03,540.44
370,2015-08-04,536.95
371,2015-08-05,539.14
372,2015-08-06,542.74
373,2015-08-07,529.46
374,2015-08-10,532.276
375,2015-08-11,528.98
376,2015-08-12,527.5
377,2015-08-13,534.66
378,2015-08-14,534.11
379,2015-08-17,538.74
380,2015-08-18,539.49
381,2015-08-19,537.25
382,2015-08-20,533.25
383,2015-08-21,512.33
384,2015-08-24,489.76
385,2015-08-25,489.44
386,2015-08-26,503.72
387,2015-08-27,522.69
388,2015-08-28,521.5
389,2015-08-31,519.41
390,2015-09-01,510.0
391,2015-09-02,510.86
392,2015-09-03,515.84
393,2015-09-04,502.85
